,ASIN,タイトル,価格,説明,URL,サムネイルURLs
0,B07ZCSDPD3,PlusQ/プラスキュー ワインセラー 53本収納 コンプレッサー式 スリムタワー型モデル 保温ヒーター内蔵 保湿ユニット付き DWC-053C,109800.0,,https://https://www.amazon.co.jp/dp/B07ZCSDPD3,"['https://m.media-amazon.com/images/I/314u52UIqJS.jpg', 'https://m.media-amazon.com/images/I/51ZHzHFFccS.jpg', 'https://m.media-amazon.com/images/I/41wFHXPDgNS.jpg', 'https://m.media-amazon.com/images/I/41s1wjTA3cS.jpg', 'https://m.media-amazon.com/images/I/51Rr5u0g2WS.jpg', 'https://m.media-amazon.com/images/I/41hpNzJ0tqS.jpg', 'https://m.media-amazon.com/images/I/41P2tMTARES.jpg', 'https://m.media-amazon.com/images/I/31BnAMnaeGS.jpg', 'https://m.media-amazon.com/images/I/31T7MJRqUbS.jpg']"
1,B089DB91BB,WIE ワインセラー 2021年人気型 静音式12本収納 最新ペルチェ式 省エネ 小型 コンパクトモデル ワインクーラー PSE安全認証 紫外線UVカットグラス 温度設定 デジタルタッチのディスプレイ 青いLEDライト付き 家庭用業務用 1年品質保証,16999.0,,https://https://www.amazon.co.jp/dp/B089DB91BB,"['https://m.media-amazon.com/images/I/41ESOj10FuL.jpg', 'https://m.media-amazon.com/images/I/41dTsiZu22L.jpg', 'https://m.media-amazon.com/images/I/511PPT57ozL.jpg', 'https://m.media-amazon.com/images/I/514AwroFqmL.jpg', 'https://m.media-amazon.com/images/I/51lGkYjW-zL.jpg', 'https://m.media-amazon.com/images/I/41gWXCE3b6L.jpg']"
2,B094VBPWDD,三菱 冷蔵庫用カルキクリーンフィルター MRPR-01FT,1084.0,●三菱冷蔵庫 自動製氷用カルキクリーンフィルターです。●※適合機種は、メーカーホームページをご確認ください。,https://https://www.amazon.co.jp/dp/B094VBPWDD,['https://m.media-amazon.com/images/I/319fkqMxpYS.jpg']
3,B08SWFTCHF,ワインセラー 28本収納 WIE 最新コンプレッサー式 82L 大容量 グラス収納 傾斜置き UVカット庫内LED灯付 温度設定 デジタルタッチディスプレイ 横置きも縦置きも両方とも使用可能 省エネ コンパクト 静音式家庭用業務用 1年品質保証,44999.0,,https://https://www.amazon.co.jp/dp/B08SWFTCHF,"['https://m.media-amazon.com/images/I/41dXia2HFsL.jpg', 'https://m.media-amazon.com/images/I/51b1USUBR1L.jpg', 'https://m.media-amazon.com/images/I/51QZ0hX6a-L.jpg', 'https://m.media-amazon.com/images/I/41nD-bMHwDL.jpg', 'https://m.media-amazon.com/images/I/51XEKj+NuJL.jpg', 'https://m.media-amazon.com/images/I/41t3oPn5kSL.jpg', 'https://m.media-amazon.com/images/I/51As1-htGmL.jpg', 'https://m.media-amazon.com/images/I/51YmYIdEuaL.jpg']"
4,B07GVBRYW9,ルフィエール ワインセラー (開梱設置付き 24本収納コンプレッサー式),58300.0,商品の説明      奥行きが薄いデザインのコンプレッサー式24本収納ワインセラー。シンプルなデザインで、様々なお部屋に相性ぴったりです！タッチパネルで温度設定も簡単、庫内温度は一目で確認できるデジタル表示、しかも【4~18℃】の幅広い温度設定ができます。また、最下段は魅せる収納を可能にした傾斜ラックを装備！   ※こちらの商品はヒーターレスモデルのため、外気が庫内設定温度より低い場合、庫内温度が外気温に近づく傾 向がございます。予め設置環境をご確認下さい。  ※設置の際は、背面100mm以上、左右100mm以上、上面100mm以上 の放熱スペースを取ってください。  ※お客様のご使用上のミスまたは故障によりワインの変質があっても補償致 しかねますので、運転状態や庫内温度には充分ご注意下さい。  ※一度ご使用になった製品は、返品をお受けする ことが出来ません。但しあきらかに製品に不備、不良が認められた製品につきましては、代替品と交換させてい ただきます。その他の責任はお受けすることができません。  ※この商品の保証に関しましては、弊社【お酒の専門店リカマン】からお買い上げ頂いた商品にのみ適用させて頂きます。      ご注意（免責）＞必ずお読みください      ※この商品の保証に関しましては、、輸入・販売元の㈱リカーマウンテンまたは弊社の指定する販売店からお買い上げ頂いた商品にのみ適用させて頂きます。,https://https://www.amazon.co.jp/dp/B07GVBRYW9,"['https://m.media-amazon.com/images/I/41GS+MWkFxL.jpg', 'https://m.media-amazon.com/images/I/41VyzUiB3jL.jpg', 'https://m.media-amazon.com/images/I/51FkzJpPvXL.jpg', 'https://m.media-amazon.com/images/I/41CyNhIMsWL.jpg', 'https://m.media-amazon.com/images/I/51O2l6EmAjL.jpg']"
5,B08JYF6JJD,シャープ 水なし自動調理鍋 2.4L レッド系SHARP ヘルシオホットクック KN-HW24F-R,49220.0,ホットクック部のレシピをダウンロードできる水なし自動調理鍋 ・調理家電種類：水なし自動調理鍋 ・消費電力：800W ・幅x高さx奥行：395x249x305mm ・重量：6.1kg,https://https://www.amazon.co.jp/dp/B08JYF6JJD,['https://m.media-amazon.com/images/I/41JYXraFN6L.jpg']
6,B07PKSGWSP,さくら製作所 ワインセラー ZERO Advance 22本収納 コンプレッサー式 ホワイト SA22-W,79846.0,設定可能温度は0℃~22℃ ワインセラーとしてはもちろん、低温貯蔵の必要な日本酒を保管する、日本酒セラー、大人気のクラフトビールを保管するクラフトビールセラーとしてもお使いいただけます。□ニューカラー「ホワイト」が登場! ! ワインセラーの顔とも言える「ガラス扉」。独自のデザインに進化し、ニューカラーの「ホワイト」も登場。光沢感を増した黒ガラスとクリアな純白ガラスの2色展開で、インテリアとしての調和性をアップしました。□木目調の樹脂製モール木目調の樹脂製モールで、ワインにマッチした庫内になっています。カビの心配が少ない樹脂のモールですが、まるで本物の木にみえるような新しい塗装で仕上げています。 □暗転モード搭載の液晶パネル液晶パネルを搭載したコントロールパネルは高級感を演出します。さらに、表示を暗転させることで、光源の調節が可能です。□独自の技術特許技術「バックショットクーリングテクノロジー」「セラーデフロスト制御」でより精度の高いワインセラーとしての温度管理が可能です。また、弊社の特許技術 バンクショット冷却方式の効果を高める新たな工夫を施しました。・より断熱性能の高い筐体を採用 これまでより筐体やドアの断熱性能が大きくアップしています。・より機能性の高いファンを採用 これまでより高性能で大型のファンを採用しました。・より冷却効果の高い冷気の流れを実現 ファンの制御に新たな工夫をし、冷却効果を高めました。□ファンの運転時の体感騒音が30%減少静音性の高いファンを新たに採用し、より静音性を高めました。また新たに開発したファンの不必要な稼働をおさえる制御技術を採用しました。□省エネ性能がアップ温度管理性能がアップしたことで、旧モデル(SBシリーズ)と比較してSA22で約10%、SA38で約30%消費電力をダウンさせました。,https://https://www.amazon.co.jp/dp/B07PKSGWSP,"['https://m.media-amazon.com/images/I/41uzCFtQvsL.jpg', 'https://m.media-amazon.com/images/I/51Wp2+--PmL.jpg', 'https://m.media-amazon.com/images/I/51K-6vqoALL.jpg', 'https://m.media-amazon.com/images/I/41wncpW1k1L.jpg', 'https://m.media-amazon.com/images/I/41aK7ih1K3L.jpg', 'https://m.media-amazon.com/images/I/51YbjCIgMtL.jpg', 'https://m.media-amazon.com/images/I/41pZ0AEbSYL.jpg']"
7,B073QSRCXX,さくら製作所 ZERO CLASS Premium 低温冷蔵ワインセラー 75本収納 SB75,195051.0,ワインのフルボトルが75本も収納できるほどの大容量です。0℃に設定して、日本酒の鮮度維持もできるパワフルな冷却力を持っていますので、冷却パワーは一般的なワインセラーよりも高く設計されています。日本酒やビールも美味しい状態を保って保管することができる万能型セラーです。,https://https://www.amazon.co.jp/dp/B073QSRCXX,"['https://m.media-amazon.com/images/I/31f5njCWDqL.jpg', 'https://m.media-amazon.com/images/I/51VgAlllqgL.jpg', 'https://m.media-amazon.com/images/I/41yJkxV6bgL.jpg', 'https://m.media-amazon.com/images/I/51RXVbea7xL.jpg', 'https://m.media-amazon.com/images/I/512AZ2zxxtL.jpg', 'https://m.media-amazon.com/images/I/51DLZFDUiFL.jpg', 'https://m.media-amazon.com/images/I/41OtNkJyXHL.jpg', 'https://m.media-amazon.com/images/I/51bSmxf93-L.jpg', 'https://m.media-amazon.com/images/I/5107LQf6rnL.jpg']"
8,B089MWRV7M,アイリスオーヤマ ペルチェ式ワインセラー 18本 50Ｌ ブラック IWC-P182A-B,19065.0,味や風味が変わりやすいワインを、良好な状態で自宅で簡単に保管。いつでも美味しく味わえます。【ワインセラーをおすすめする理由】ワインは保管の仕方で味や風味が簡単に変化します。光はワインを酸化させ、味わいのバランスを壊してしまうので、酸っぱく感じたり臭みがでてきたりします。振動は酸化を早め、過度な熟成に繋がります。また、瓶中の澱などが舞い、香味のバランスを崩してしまいます。温度変化が大きいとワインが変質し、味が損なわれてしまう可能性があります。においが強いものはコルク栓を通して、ワインの香りに悪影響を与えてしまいます。ワインセラーがあれば保管の難しいワインを自宅で気軽に美味しく楽しめます。【振動の少ないペルチェ式】モーターがなく、振動が少ないのでワインの良好な状態をキープできます。音が静かなので寝室に置いても大丈夫。【冷蔵庫との違い】冷蔵庫で保管する場合次のような心配があります。・ほかの食品からのにおい移り・温度が低すぎて熟成を止めてしまう・ドアの開閉とモーターによる振動ワインセラーならいつも安定した味を堪能できます。【徹底した温度管理】温度が一目でわかるデジタル表示。ワインの種類に合わせ、8℃~18℃の間で温度を設定できます。【外からラベルが見える庫内灯付き】スイッチが扉の外側にあるので、扉を閉めたままボトルのラベルを確認できます。消し忘れても点灯10分後に自動で消灯します。熱くなりにくいLEDライトで庫内をやさしく照らします。扉を開閉せずに確認できるので温度変化を防ぎワインの美味しさを保ちます。【紫外線を防ぐミラーガラス】美しくスタイリッシュなミラーガラスは紫外線をカットし、光に弱いワインを守ります。,https://https://www.amazon.co.jp/dp/B089MWRV7M,"['https://m.media-amazon.com/images/I/31KRuXmeaaL.jpg', 'https://m.media-amazon.com/images/I/51ouu4zmb+L.jpg', 'https://m.media-amazon.com/images/I/513xa8+OffL.jpg', 'https://m.media-amazon.com/images/I/51lQdl+PtcL.jpg', 'https://m.media-amazon.com/images/I/511BuZ8znEL.jpg', 'https://m.media-amazon.com/images/I/51-nwL+55mL.jpg', 'https://m.media-amazon.com/images/I/61KT12upkBL.jpg', 'https://m.media-amazon.com/images/I/41ncQwcBtRL.jpg', 'https://m.media-amazon.com/images/I/41vC3rTSArL.jpg']"
9,B07CF38KHP,フィフティ(FIFTY) フォレストライフ(Forest Life) ワインセラー 49L 18本収納 ペルチェ方式 WCF-18,19800.0,●環境に優しいペルチェ方式を採用●光や振動を防ぎ、温度を一定に保つことでワインの理想的な保存環境をつくる●1度単位で8~18度の温度設定が可能。休息な変化をせずゆっくりッ目標温度まで下げ、安定した温度設定を一定に保つ。また、室内の水分をセラー内部に取り入れ結露させることで湿度を保つ●コンプレッサー方式と違いシンドウが少ないペルチェ方式のため、振動が少なく音も静か。ワインの健全な熟成を妨げる衝撃や振動から守る●二重構造のガラスにUVカット加工を施し、ワインの参加を促す紫外線を97%以上シャットアウト。ワインの退色や劣化も抑える●フルフラットのガラス扉のシンプルで高級感のあるデザイン。庫内LEDライトが特別なひと時を演出(点灯後約10分後自動消灯)●温度設定をLEDで見やすく表示●温度調整はタッチパネル式。扉を開けることなく操作できるので冷気を逃がさず省エネ温度制御範囲:8~18度●動作音:30dB●周囲温度:20~26度●収容本数:18 ※標準的なボトルサイズ(750ml 高さ30cmくらいのもの)を収納した場合)●付属品:棚×8※基本的なセラー機能として問題はございませんが、高級なワインなど熟成を目的とした長期保存には向いておりません。※このワインセラーの故障によりワインの変質があっても保証いたしかねます。運転状態や庫内温度には十分ご注意ください。,https://https://www.amazon.co.jp/dp/B07CF38KHP,"['https://m.media-amazon.com/images/I/41+IUAFWmnL.jpg', 'https://m.media-amazon.com/images/I/51bKlG9l2OL.jpg', 'https://m.media-amazon.com/images/I/5121huIi9cL.jpg', 'https://m.media-amazon.com/images/I/51gdvD9UwcL.jpg', 'https://m.media-amazon.com/images/I/51vh7NVQ4YL.jpg']"
10,B091DN4JDH,ECL ワインセラー 24本収納 63L 5℃~18℃ コンプレッサー式 ワインクーラー 省エネ 小型 家庭・勤務用 大容量 LEDライト/自動ロック機能／メモリ機能搭載 紫外線UVカット 1年品質保証,35480.0,,https://https://www.amazon.co.jp/dp/B091DN4JDH,"['https://m.media-amazon.com/images/I/41PbdKCx9zS.jpg', 'https://m.media-amazon.com/images/I/51aAkwQhZrS.jpg', 'https://m.media-amazon.com/images/I/51mgJtoqU8S.jpg', 'https://m.media-amazon.com/images/I/51PlEV7MJcS.jpg', 'https://m.media-amazon.com/images/I/41y2ZCGqkiS.jpg', 'https://m.media-amazon.com/images/I/51fKB5rDYMS.jpg', 'https://m.media-amazon.com/images/I/51eoEyZhKcS.jpg']"
